nombre;latitud;longitud;
CENTRO DE ESPECIALIDADES FISIOTERAPEUTICAS Y SERVICIOS MEDICOS INTEGRALES CEFIR;-6.2301547;-77.8708478;
CENTRO MEDICO AMAZONAS EIRL;-6.2301547;-77.8708478;
OYARCE CONSULTORIO ODONTOLOGICO;-6.2301547;-77.8708478;
"CENTRO MEDICO ""PERU JAPON""";-6.2301547;-77.8708478;
SERVICIOS ODONTOLÓGICOS TAFUR;-6.2301547;-77.8708478;
AYLLU SACHAPUYOS;-6.2301547;-77.8655;
CONSULTORIO ODONTOLÓGICO VIRGEN ASUNTA;-6.2301547;-77.8708478;
GASTROCAMPOS;-6.2301547;-77.8708478;
LÒPEZ CONSULTORIO ODONTOLÒGICO;-6.2301547;-77.8708478;
DIAGNOSTIC LAB;-6.2301547;-77.8708478;
PERFECT SMILE;-6.2301547;-77.8708478;
CENTRO MEDICO AMISTAD;-6.2301547;-77.8708478;
CONSULTORIO ODONTOLÓGICO TORRES;-6.2301547;-77.8708478;
CONSULTORIO ODONTOLOGICO CONCIENCIA;-6.2301547;-77.8708478;
SERVICIOS GENERALES OMEGA;-6.2301547;-77.8708478;
LABORATORIO CLINICO BIOSALUD;-6.2301547;-77.8708478;
Colegio Virgen Asunta;-6.2301849;-77.8722147;
PERUMEDIC;-6.23020719;-77.86661286;
Consultorio Odontológico Amazonas;-6.23064531;-77.87170611;
CONSULTORIO MEDICO BIENESTAR;-6.2307253;-77.86619417;
Consultorio Odontológico LA CARIES;-6.2307854;-77.8728476;
HOSPITAL REGIONAL VIRGEN DE FATIMA;-6.23079333;-77.866165;
Nutrimed Perú;-6.23153054;-77.86744139;
LABORATORIO REFERENCIAL REGIONAL DE SALUD PUBLICA AMAZONAS;-6.23178833;-77.86577833;
HIGOS URCO;-6.23299;-77.85874333;
OdontiSalud;-6.23302104;-77.86577038;
CONSULTORIO PSICOLOGICO AMAYA;-6.23345565;-77.87121794;
Universidad Untrm;-6.2335356;-77.8553538;
"CONSULTORIO ODONTOLOGICO ""PLUS DENT""";-6.23483949;-77.86878518;
VIRGEN DE ASUNTA;-6.23676333;-77.86676;
ODONTOLUZ;-6.23714054;-77.8668674;
Centro Salud Mental;-6.2435558;-77.8670226;
EL MOLINO;-6.24781167;-77.888695;
TAQUIA;-6.25464833;-77.83386833;
SAN ISIDRO DE UTCUBAMBA;-6.282965;-77.93609833;
ASUNCION GONCHA;-6.03254552;-77.71035277;
GOLLON;-6.73397167;-77.94125833;
SAULLAMUR;-6.81352;-77.93935833;
BALZAS;-6.835975;-78.01989167;
CHETO;-6.25583338;-77.70094348;
CHILIQUIN;-6.0786751;-77.73728409;
SENGACHE;-6.09743575;-77.80881486;
VITUYA;-6.1035609;-77.79418762;
CUELCHO;-6.14127159;-77.75449921;
CANAAN;-6.516667;-77.4;
CHUMBOL;-6.92799667;-77.94049;
COCHABAMBA;-6.92838833;-77.89986;
CHUQUIBAMBA;-6.93358667;-77.85454333;
ATUEN;-6.93358667;-77.85454333;
LA MORADA;-6.94001;-77.78264;
GRANADA;-6.10623667;-77.62760333;
PUESTO DE SALUD ESTABLECIMIENTO PENAL CHACHAPOYAS;-6.16052794;-77.86757325;
HUANCAS;-6.17355167;-77.86441167;
BUIQUIL;-6.45658833;-77.84196167;
NUEVA ESPERANZA;-6.48263697;-77.81929236;
EL TRIUNFO;-6.48263697;-77.81929236;
JALCA GRANDE;-6.48513667;-77.81563167;
CUEYQUETA;-6.52561333;-77.814225;
QUELUCAS;-6.52920167;-77.82646;
PENGOTE;-6.54547333;-77.811515;
QUILLUNYA;-6.55844333;-77.812755;
Centro Médico San Bartolome;-6.56673062;-77.82916248;
YERBABUENA;-6.57131833;-77.826915;
LEYMEBAMBA;-6.70631833;-77.803755;
COLISEO RAYMIPAMPA;-6.707206551;-77.80417;
PLAZAPAMPA;-6.75680667;-77.93209833;
CHILCHOS;-6.93358667;-77.85454333;
LEVANTO;-6.307315;-77.89943833;
MAGDALENA;-6.37534167;-77.89940667;
BUIQUIL LOCAL COMUNAL;-6.462610882;-77.81616;
COLISEO YERBABUENA;-6.566351869;-77.82741417;
TACTA;-6.58032833;-77.80443;
DURAZNOPAMPA;-6.591425;-77.81140667;
CASMAL;-6.178955;-77.71806667;
MOLINOPAMPA;-6.207005;-77.66883333;
I.E.P 18071;-6.218759845;-77.58008013;
CENTRO DE SALUD MOLINOPAMPA;-6.236848565;-77.58591661;
SAN JOSE;-6.28275;-77.5608;
IZCUCHACA;-6.28275;-77.5608;
MONTEVIDEO;-6.618715;-77.8013;
SAN MIGUEL DE LA REYNA;-6.00426299;-77.71967219;
OLLEROS;-6.05255833;-77.646825;
QUINJALCA;-6.09196333;-77.67861833;
CHONTAPAMPA DE QUINJALCA;-6.16699285;-77.72580157;
PIPUS;-6.22852068;-77.73144253;
MAINO;-6.33839667;-77.88079833;
MITO;-6.24945041;-77.76727656;
QUITACHI;-6.24945041;-77.76727656;
SOLOCO;-6.2593825;-77.74440804;
OQUISH;-6.3843291;-77.54697927;
NUEVO OLMAL;-6.1847909;-77.77968643;
SONCHE;-6.2199079;-77.77508945;
NARANJOS;-5.49428538;-78.49669412;
ESPITAL;-5.51853027;-78.49993273;
ACERILLO;-5.53913422;-78.54861946;
CASUAL;-5.58867832;-78.55292425;
LABORATORIO CLINICO BIOLAB;-5.6312584;-78.5455741;
BAGUA;-5.6313198;-78.53222414;
CLÍNICA AMAZONAS;-5.6315221;-78.5458453;
Policlínico El Rosario;-5.63264165;-78.5310261;
HOSPITAL I HEROES DEL CENEPA;-5.63313044;-78.53341476;
LA PRIMAVERA;-5.63474476;-78.54057436;
CENTRO DE SALUD MENTAL COMUNITARIO BAGUA;-5.6348174;-78.5328094;
CENTRO MEDICO HERSEL;-5.63488757;-78.53395594;
BAGUA MEDIKAL BREVETES S.R.L.;-5.6361357;-78.5307552;
SAMU DE LA RED DE SALUD BAGUA;-5.6361357;-78.5307552;
CONSULTORIO CLÍNICO MQN;-5.6361357;-78.5307552;
CATS BAGUA;-5.6361357;-78.5307552;
Colegio Mesones Muro;-5.637175;-78.5361572;
Servicios Odontológicos San Luis;-5.6380116;-78.5300246;
LABORATORIO CLÍNICO SAN CAMILO;-5.6381456;-78.531763;
LABORATORIO DE REFERENCIA REGIONAL EN SALUD PUBLICA BAGUA;-5.63862723;-78.53001363;
Colegio La Inmaculada;-5.6389831;-78.5294067;
POSTA MEDICA  POLICIAL  BAGUA;-5.63918393;-78.53230619;
SERVIMEDIC J&R;-5.63941352;-78.53527204;
HOSPITAL DE APOYO GUSTAVO LANATTA LUJAN;-5.63951591;-78.53075225;
MEDIC SALUD;-5.6401962;-78.5309283;
PASTEUR S.R.L;-5.64020963;-78.53203895;
EMPRESA PRESTADORA DE SERVICIOS DE SALUD CONSULTORIOS MÉDICOS ESPECIALIZADOS PAST;-5.64020963;-78.53203895;
Policlínico San Juan;-5.64026396;-78.53444091;
Colegio Agropecuario;-5.6405347;-78.5238937;
Consultorio Dental  Kristell Dent;-5.64099103;-78.53281245;
CENTRO DE SALUD MENTAL COMUNITARIO BAGUA;-5.64103908;-78.52435813;
INTERREGIONAL;-5.6411891;-78.5280311;
I.E 201;-5.6415082;-78.5358376;
TOMAQUE;-5.64934727;-78.50558236;
CRUCE ALENYA;-5.67015768;-78.48929543;
ARAMANGO;-3.63931836;-77.77073679;
SHAIM;-5.23914833;-78.48746756;
NAJEM;-5.26157904;-78.44084408;
MONTENEGRO;-5.30635244;-78.42946336;
TUTUMBEROS;-5.33835873;-78.4546586;
SAN JUAN DE DIOS;-5.35602547;-78.52921244;
CHINGANZA;-5.36293198;-78.45039335;
ZAPOTAL;-5.36977385;-78.5161875;
I.E.P.N° 16201;-5.40754;-78.4283;
I.E. N°16201 ARAMANGO;-5.416608454;-78.43813346;
SELVA VERDE;-5.41776606;-78.36697712;
EL MUYO;-5.41944618;-78.45594658;
Mini Coliseo Municipal - EL POLVORIN;-5.421735277;-78.45186637;
GUAYAQUIL;-5.43010719;-78.38579224;
EL CEDRON;-5.43090611;-78.40117231;
NUMPARKET;-5.44369514;-78.38642907;
LA LIBERTAD;-5.44720018;-78.48675871;
MIRAFLORES DE ARAMANGO;-5.44825761;-78.40846308;
COPALLIN DE ARAMANGO;-5.45976793;-78.45834617;
SANTA CLARA;-5.48178344;-78.4515685;
Mini Coliseo Municipal - EL PORVENIR;-5.482856885;-78.42802452;
EL PORVENIR DE ARAMANGO;-5.48432278;-78.42750406;
CAMPO BONITO;-5.5074241;-78.44629382;
CHONZA LAGUNA;-5.63915903;-78.39942245;
SANTA CRUZ DE MOROCHAL;-5.66177651;-78.36044303;
PAN DE AZUCAR;-5.67129736;-78.38651325;
COPALLIN;-5.67553775;-78.42441106;
I.E.Sagrado Corazon De Jesus COPALLIN;-5.676027014;-78.42574341;
LLUHUANA;-5.67723361;-78.40024253;
ALENYA;-5.68677213;-78.47972571;
UNION PROGRESO;-5.57428761;-78.48223036;
TOLOPAMPA;-5.60118938;-78.48162929;
EL PARCO;-5.62495543;-78.47681192;
PLAZA PRINCIPAL - EL PARCO;-5.625350897;-78.47570683;
WAYAMPIAK;-4.612666946;-78.60037857;
NUEVA VIDA;-4.64815323;-78.15277009;
TUNTUS;-4.66263425;-78.59098482;
JEMPEST-CHICAIS;-4.69733252;-78.18785343;
SAN PABLO;-4.75994492;-78.1833502;
CHIJA;-4.77071028;-78.52230725;
LISTRA;-4.77464297;-78.3176315;
KUSU;-4.78145065;-78.31395066;
CHIPE;-4.79250109;-78.28845567;
Loza Deportiva - Chipe;-4.794614543;-78.2890744;
CENTRO WAWIK;-4.80760375;-78.19816424;
NUEVO BELEN;-4.83834236;-78.19190105;
NUMPATKAIM;-4.85389725;-78.32544107;
WAYAMPIAK;-4.86901258;-78.52249417;
Mini Coliseo Municipal - Tupac Amaru;-4.894409147;-78.20480661;
TUPAC AMARU I;-4.89503823;-78.20610435;
SIJIAK;-4.92345364;-78.50087132;
CASA COMUNAL - IMACITA;-4.930037653;-78.22959268;
WAWICO;-4.9358265;-78.19867763;
WAJUYAT;-4.93741394;-78.33730804;
BICHANAK;-4.93879567;-78.19650613;
YANAT;-4.94334959;-78.53825863;
UUT;-4.9783113;-78.33260205;
WANTSA;-4.99684765;-78.38723043;
KUNCHIN;-5.04060814;-78.42923854;
KUSU GRANDE;-5.04509612;-78.26427824;
YAMAYAKAT;-5.05625558;-78.33984079;
IMAZA;-5.05830398;-78.33673233;
MESONES MURO;-5.07389419;-78.33149575;
TENASHNUM;-5.09401363;-78.35811848;
NAZARETH;-5.138695;-78.31801561;
WAWAIN;-5.14588305;-78.23646555;
SAN RAFAEL;-5.1544898;-78.34421527;
CHIRIACO;-5.1594417;-78.287257;
MINI COLISEO MUNICIPAL - CHIRIACO;-5.162687062;-78.28686225;
SAN RAMON;-5.16693653;-78.36667255;
SAMAREN-YUPICUSA;-5.18955644;-78.37917769;
SHIMPUENTS;-5.19264833;-78.14707381;
SHUSHUG;-5.20103699;-78.32264191;
PAKUIT;-5.2081077;-78.26808986;
WAWAS;-5.22613694;-78.34571655;
NAYUMPIN;-5.23070271;-78.25472263;
DURAND;-5.2380859;-78.36399959;
SUKUTIN;-5.30660281;-78.29388118;
SAN ISIDRO;-5.55421599;-78.48168473;
ARRAYAN;-5.60022326;-78.4426359;
LA PECA;-5.60813775;-78.43618046;
Colegio Fe Y Alegria - LA PECA;-5.609089344;-78.43788232;
CHONZA ALTA;-5.61956241;-78.40155231;
SAN FRANCISCO;-5.62242794;-78.44988377;
EL TRIUNFO;-5.63867479;-78.42151785;
C.S JUMBILLA;-5.898573533;-77.79932871;
JUMBILLA;-5.9050563;-77.79617018;
LAS PALMAS;-5.90550586;-77.7979707;
CHISQUILLA;-5.89015508;-77.79387234;
CHURUJA;-6.01546751;-77.95452493;
COROSHA;-5.81849803;-77.82779517;
CUISPES;-5.94356629;-77.97722101;
FANRRE;-5.94356629;-77.97722101;
POMACOCHAS;-5.82481484;-77.96734866;
SAN JOSE DE POMACOCHAS;-5.82481484;-77.96734866;
GUALULO;-5.84925534;-77.9092696;
CARRERA;-5.87043621;-77.95667883;
PEDRO RUIZ GALLO;-5.94356629;-77.97722101;
CHOSGON;-5.94356629;-77.97722101;
SAN JERONIMO;-5.94356629;-77.97722101;
LA UNION;-5.94356629;-77.97722101;
DUNIA CHICO;-5.94356629;-77.97722101;
Servicios Médicos San Andrés;-5.94417449;-77.97824879;
REMOTTI;-5.94643118;-77.97713182;
SERVICIOS A&M SANTA FE SAC;-5.9467286;-77.9789692;
"CONSULTORIO ODONTOLOGICO ""DUODENT""";-5.9473198;-78.0309542;
CONSULTORIO ODONTOLOGICO BUSTAMANTE;-5.9473198;-78.0309542;
CENTRO DE ATENCIÓN PRIMARIA I PEDRO RUIZ;-5.95021597;-77.9794936;
RECTA;-5.917634;-77.78963568;
SAN CARLOS;-5.94356629;-77.97722101;
SHISPASBAMBA;-5.86804;-78.07163;
LOCAL I.E 18322 ABRAHAM LOPEZ LUCERO;-5.897667058;-78.04833335;
LA FLORIDA DE SHIPASBAMBA;-5.94356629;-77.97722101;
COMBOCA;-5.94356629;-77.97722101;
SAN PABLO DE VALERA;-5.94356629;-77.97722101;
MATIAZA RIMACHI;-6.04943033;-77.92989816;
COCACHIMBA;-6.05766291;-77.89473162;
LA COCA;-6.06772986;-77.89589449;
PERLA DE IMAZA;-5.59201592;-77.96791578;
LA FLORIDA DE YAMBRASBAMBA;-5.67772227;-77.93666067;
PROGRESO;-5.69603315;-77.86218047;
LA ESPERANZA;-5.70816362;-77.90601295;
CHAYUYAKU;-5.73348047;-77.92651367;
BUENOS AIRES;-5.73679503;-77.90663482;
YAMBRASBAMBA;-5.82481484;-77.96734866;
VILLA HERMOSA;-5.82481484;-77.96734866;
SAASA;-4.43959553;-78.00247192;
YUMINGKUS;-4.47065258;-77.96450788;
ATSAKUS;-4.47725942;-77.78875356;
BAJO PUPUNTAS;-4.47990307;-77.67897073;
SANTA MARIA DE NIEVA;-4.48901;-77.69266;
PAKINTSA;-4.49355551;-77.76610772;
BASHUTAK;-4.49409804;-77.68595773;
PUMPUSHAK;-4.51771427;-77.94944979;
Plaza De Armas;-4.5921;-77.8638;
Complejo Deportivo;-4.5923;-77.8758;
SANTA MARIA DE NIEVA;-4.59319235;-77.86553857;
San José;-4.59392621;-77.8688522;
Mercado De Abastos;-4.5977;-77.8618;
NIEVA;-4.59874191;-77.86777521;
SAMU CONDORCANQUI;-4.59882421;-77.86804753;
SANTA MARIA DE NIEVA;-4.6000761;-77.86555388;
ENFERMERÍA BATALLÓN DE INFANTERÍA SELVA  N° 32 - CIRO ALEGRÍA;-4.6010065;-77.8610254;
"CENTRO DE SALUD MENTAL COMUNITARIO ""EL BUEN VIVIR""";-4.6010065;-77.8610254;
ALTO PAJACUSA;-4.61003175;-77.73921567;
CIRO ALEGRIA;-4.61476038;-77.94526065;
KIGKIS;-4.646674591;-78.10096622;
NAPURUKA;-4.65629973;-78.03473963;
NUEVO SEASME;-4.68760656;-77.80792734;
ENFERMERIA UMAR N° 1 - URAKUZA;-4.70939522;-78.04959542;
URAKUSA;-4.71539445;-78.05480089;
Local Comunal;-4.71539445;-78.05480089;
NUEVA UNIDA;-4.83102303;-77.93784934;
TAYUNTSA;-4.83413493;-77.94968267;
Local Comunal;-4.83413493;-77.94968267;
CHORROS;-4.84577979;-78.02323898;
KIGKIS;-4.89524554;-77.92391925;
PUTUYAKAT;-4.90139988;-78.03763949;
PUTUYAKAT;-4.9018;-78.0369;
CUZUMATAK;-4.91502856;-78.10672256;
ALAN GARCIA;-4.93136734;-78.11738308;
PAANTAM;-4.93267302;-78.09994035;
IPAKUMA;-4.93846886;-77.96216356;
KAYAMAS;-5.08513489;-77.96970784;
CACHIACCO;-5.12185365;-77.94976945;
NUMPATKAIM;-5.19456373;-77.87381296;
WICHIM;-3.93675;-78.18466667;
Local Comunal;-4.1891;-78.2771;
SHAIM;-4.272535;-78.35663;
TEESH;-4.31030167;-78.38485333;
TUANG ENTSA;-4.3639;-78.19789667;
El Tambo - Midis;-4.3829;-78.3088;
KUSU NUMPATKAIM;-4.40234333;-78.41110833;
KUYUMATAK;-4.40270701;-78.34500867;
KUMPIN;-4.4109224;-78.06726056;
KUSU PAGATA;-4.41296237;-78.27010712;
KUSU KUBAIM;-4.43221945;-78.24969325;
HUAMPAMI;-4.45049297;-78.15919936;
CANGA;-4.4584026;-78.19543074;
ACHUIM;-4.480455;-78.45733333;
PAMPA ENTZA;-4.52902333;-78.46205;
PAANTAN ENTSA;-4.54338284;-78.27977735;
SHAMATAK GRANDE;-4.57846;-78.47882333;
MAMAYAQUE;-4.60427631;-78.20180575;
WAWAIN;-4.63516546;-78.15071298;
PAPAYACU;-3.10565857;-77.82999048;
AMPAMA;-3.25418543;-77.87680512;
CUCUAZA;-3.33967804;-77.8776449;
CANDUNGOS;-3.4029;-77.8431;
CANDUNGOS;-3.4569094;-77.84906252;
El Tambo - Midis;-3.5249;-77.7716;
PASHKUS;-3.5785935;-78.10033359;
AYAMBIS;-3.63926546;-77.77069513;
NAUTA;-3.67760148;-77.75785352;
CHOSICA;-3.8875905;-77.71431115;
CHINGANAZA;-3.91696949;-77.7490066;
AITAM;-3.92846438;-77.85048641;
Local Comunal;-3.9822;-78.1162;
GALILEA;-4.01610693;-77.7537907;
SHIRINGA;-4.02333402;-77.77779657;
ALTO YUTUPIS;-4.04828432;-77.8628288;
Local Comunal;-4.057588;-77.7674896;
GUAYABAL;-4.1618257;-77.71031569;
BELEN;-4.24117688;-77.72527134;
KAGKAS;-4.28254671;-77.86384183;
SAN RAFAEL;-4.34556197;-77.69716414;
Colegio Blas Balera;-6.105349927;-77.95032019;
CUEMAL;-6.118405;-77.98051;
CENTRO DE ATENCIÓN PRIMARIA I LAMUD;-6.13763448;-77.95043343;
SEÑOR DE GUALAMITA;-6.1380556;-77.9523124;
Coliseo De Lamud;-6.1388389;-77.9515602;
LAMUD;-6.142925;-77.95231167;
IEP. BRAULIO CAMPORREDONDO;-6.16651301;-78.32575684;
LA LIBERTAD;-6.18356333;-78.32551833;
GUADALUPE;-6.18595333;-78.35721;
COCOCHO;-6.19029167;-78.32629167;
EL PALTO;-6.20587333;-78.30294333;
CAMPORREDONDO;-6.21838333;-78.32180833;
YOMBLON DE COCABAMBA;-6.43024257;-77.96287947;
BALERIANA;-6.43024257;-77.96287947;
BUENA VISTA;-6.43024257;-77.96287947;
QUISQUIS;-6.53921;-78.078435;
CHUILON;-6.58399;-78.09759;
COCABAMBA;-6.61425167;-78.00414333;
MENDAN;-6.61673;-78.10155;
COLCAMAR;-6.29909333;-77.974375;
PONAYA;-6.29963167;-77.938155;
COCHA;-6.31865333;-77.96077333;
QUILLILLIC;-6.34381;-77.95720167;
SAN ISIDRO DE QUIUCMAL;-6.08732337;-78.17924974;
CONILA COHECHAN;-6.18883;-78.01653;
NUEVO LUYA;-6.226715;-78.00613167;
INGUILPATA;-6.23962333;-77.95612833;
CHOCTAMAL;-6.39118333;-77.98595167;
LONGUITA;-6.413325;-77.96865;
CAMELIN;-6.21376833;-77.98687167;
LONYA CHICO;-6.23059667;-77.95549167;
SAN PEDRO Y SAN PABLO;-6.24136025;-78.15855161;
COROBAMBA;-6.15525833;-77.97937833;
LUYA;-6.16123333;-77.946835;
SHIPATA;-6.16619333;-78.008995;
CHOCTA;-6.17005333;-78.029485;
COLMATA;-6.18182333;-77.98355833;
COLISEO GRAN CHILLAOS;-6.199338797;-77.94978542;
LUYA VIEJO;-6.141175;-78.02806333;
MARIA;-6.43024257;-77.96287947;
QUISPE;-6.20717167;-78.28440167;
C.S OCALLI;-6.207324259;-78.27034329;
OCALLI;-6.235885;-78.26669667;
POSTA MEDICA OCALLI;-6.23603333;-78.26676167;
CELCHO CUZCO;-6.24454833;-78.240855;
TACTAMAL;-6.25229;-78.21459667;
SAN JUAN DE OCUMAL;-6.27448016;-78.17132537;
COLLONCE;-6.28132603;-78.20750359;
CALDERA;-6.29650325;-78.21809173;
YAULICACHI;-6.304225;-78.12733833;
VISTA HERMOSA DE OCUMAL;-6.32129942;-78.10934787;
PIRCAPAMPA;-6.333955;-78.20773833;
HUARANGUILLO;-6.34610944;-78.27926804;
SAN MIGUEL DE PORO PORO;-6.35215472;-78.20041402;
PUEBLO NUEVO;-6.376185;-78.14105;
TRIBULON;-6.38371667;-78.13239667;
EL REJO;-6.39289167;-78.10914667;
MEMBRILLO;-6.40552076;-78.10406937;
COLEGIO TUPAC AMARU;-6.415326732;-78.11641251;
PISUQUIA;-6.41891833;-78.11577333;
YOMBLON DE PISUQUIA;-6.44932274;-78.09297849;
SAN RAMON;-6.4768;-78.12377;
PLAYA JUMETH;-6.26735333;-78.27616833;
PROVIDENCIA;-6.29522137;-78.24157727;
NUEVO CHOTA;-6.31034249;-78.29669034;
SAN CRISTOBAL DE OLTO;-6.10288;-77.96173;
COLISEO CERRADO;-6.105349927;-77.95512671;
SAN FRANCISCO DEL YESO;-6.64747;-77.81231333;
COLISEO DE LA I.E Nº 102 POMACOCHAS;-6.726242816;-77.82732834;
PACLAS;-6.05873667;-77.97347833;
SAN JUAN DE LOPECANCHA;-6.49730333;-77.86332;
EL MANGO;-6.510015;-77.87701;
INGENIO;-6.00352409;-78.14906176;
SALAZAR;-6.03027445;-78.13535202;
SAN JUAN DE PROVIDENCIA;-6.04664734;-78.15191625;
SANTA CATALINA;-6.113205;-78.06186167;
LLACTAPAMPA;-6.48001743;-77.92065297;
MARAYPATA;-6.511615;-77.89130333;
AGUA SANTA;-6.51279681;-77.91741283;
SAN SALVADOR;-6.55255333;-77.87822667;
SANTO TOMAS;-6.57358333;-77.86655833;
TINTIN;-6.60693833;-77.84872667;
TINGO;-6.37164667;-77.90919667;
KUELAP;-6.41980167;-77.92142167;
TRITA;-6.146975;-78.01163667;
CRUZPATA;-6.16132833;-78.034555;
I.E.E. 18207 San Nicolas;-6.3939;-77.4865887;
Consultorio Odontológico Vita;-6.39472606;-77.48252999;
Polideportivo De La I.E.E. 18207- San Nicolas;-6.39509801;-77.48491462;
SAGRADO CORAZON DE JESUS;-6.39531502;-77.47971562;
TECNOMEDIC;-6.39536864;-77.47929073;
HOSPITAL MARIA AUXILIADORA DE RODRIGUEZ DE MENDOZA;-6.395489004;-77.47875487;
MARIA AUXILIADORA;-6.39564667;-77.47855167;
SAN NICOLAS;-6.39573617;-77.48128739;
GENESIS M&N;-6.39581831;-77.48214125;
CENTRO MÉDICO RENACER;-6.39637806;-77.48166918;
CATS Rodríguez de Mendoza;-6.39650129;-77.48286258;
CENTRO DE ATENCIÓN PRIMARIA II RODRÍGUEZ DE MENDOZA;-6.39752206;-77.47886804;
INTEGRAMENTE HUAYABAMBA;-6.4313869;-77.5318683;
CHIRIMOTO;-6.51979504;-77.44193491;
ACHAMAL;-6.53154942;-77.41254074;
LUZ DEL ORIENTE;-6.56491;-77.36106;
ZARUMILLA;-6.56652485;-77.38057225;
SANTO TORIBIO;-6.56652485;-77.38057225;
SAN ANTONIO;-6.64387941;-77.33650482;
COCHAMAL;-6.408625;-77.57784503;
NUEVO HORIZONTE;-6.41928785;-77.50477249;
CHONTAPAMPA DE HUAMBO;-6.41994341;-77.555558;
CENTRO DE SALUD HUAMBO;-6.42004777;-77.53371665;
HUAMBO;-6.43124145;-77.53397861;
LIMABAMBA;-6.49902126;-77.49921411;
MONTEALEGRE;-6.49902126;-77.49921411;
LONGAR;-6.3843291;-77.54697927;
SHUCUSH;-6.39313093;-77.56870994;
MICHINA;-6.37756258;-77.52195554;
MARISCAL BENAVIDES;-6.38657963;-77.50338312;
CHONTAPAMPA DE MILPUC;-6.49460457;-77.41009594;
MILPUC;-6.49974249;-77.43726111;
NUEVO OMIA;-6.3496421;-77.32393061;
COLISEO DEPORTIVO OMIA;-6.404305292;-77.41508684;
EL LIBANO;-6.40579;-77.30793;
